id;name;capital;capital_curreny;capital_share;capital_share_perc;source;source_link;source_date;parents
135;Schloß Schönbrunn Kultur- u. Betriebsges.m.b.H.;500000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
136;Schönbrunner-Tiergarten GmbH;600000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
137;AustriaTech - Gesellschaft des Bundes für technologiepolitische Maßnahmen GmbH;1000000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
138;Via Donau - Österreichische Wasserstraßen-GmbH;2000000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
139;Austro Control GmbH;25000000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
140;Autobahnen- und Schnellstraßen-Finanzierungs-AG (ASFINAG Konzern);392400000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
141;Graz-Köflacher Bahn und Busbetrieb GmbH;4000000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
142;Lokalbahn Lambach-Vorchdorf-Eggenberg AG;160000;EUR;;73;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
143;Österreichische Bundesbahnen-Konzern (ÖBB);1900000000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
144;Rundfunk und Telekom Regulierungs-GmbH;3634000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
145;Schienen-Control GmbH;750000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
146;Schieneninfrastruktur-Dienstleistungsgesellschaft mbH (SCHIG);2000000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
147;Landwirtschaftliche Bundesversuchswirtschaften GmbH;55600000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
148;Österreichische Bundesforste AG;150000000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
149;Spanische Hofreitschule-Bundesgestüt Piber Ges. öff. Rechts;1000000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
150;Umweltbundesamt GmbH;73000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
151;Österreichische Bundesfinanzierungsagentur GmbH;73000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
152;Österreichische Industrieholding AG;363400000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
153;VERBUND AG;347400000;EUR;;51;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
154;Villacher Alpenstraßen-Fremdenverkehrsgesellschaft m.b.H.;734000;EUR;;71;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
155;Oesterreichische Nationalbank1);;EUR;;;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
156;Bundesbeschaffung GmbH;70000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
157;Bundespensionskasse AG;10300000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
158;Bundesrechenzentrum GmbH;2200000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
159;Felbertauernstraße AG;15307000;EUR;;62;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
160;Großglockner Hochalpenstraßen AG;14500000;EUR;;79;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
161;Internationales Amtssitz- und Konferenzzentrum Wien, AG;1500000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
162;Monopolverwaltung GmbH;75000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
163;ABBAG – Abbaubeteiligungsaktiengesellschaft des Bundes;70000;EUR;;;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
164;HETA Asset Resolution AG1);3154700000;EUR;;;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
165;Hypo Alpe-Adria-Bank International AG1);;EUR;;;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
166;KA Finanz AG;389000000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
167;Kommunalkredit Austria AG;225300000;EUR;;99,8;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
168;Verpackungskoordinierungsstelle gemeinnützige Gesellschaft mbH;35000;EUR;;;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
169;HBI Bundesholding AG;70000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
170;Agentur für Qualitätssicherung und Akkreditierung Austria;;EUR;;;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
171;Bundesimmobiliengesellschaft (BIG-Konzern);226000000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
172;Bundestheater-Holding GmbH;11500000;EUR;;100;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
173;ART for ART Theaterservice GmbH;5000000;EUR;;;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
174;Burgtheater GmbH;-3969000;EUR;;;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
175;Wiener Staatsoper GmbH;13500000;EUR;;;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
176;Volksoper Wien GmbH;3100000;EUR;;;Ausgliederungen und Beteiligungen des Bundes 2015;https://www.bmf.gv.at/budget/das-budget/Ausgliederungen_und_Beteiligungen_des_Bundes_Oktober_2015.pdf?5i7zdn;;110
