id;name;capital;capital_currency;capital_share;capital_share_perc;source;source_link;source_date;children;parents;parent;type
203;Arriva Danmark A/S, Kastrup/Dänemark ;140003000;DKK;140003000;85,15;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Schenker Aktiengesellschaft, Essen Stinnes Handel GmbH & Co. Beteiligungs OHG Mülheim/Ruhr ;Personenverkehr (Bus und Schiene)
204;Arriva DAV BV, Heerenveen ;90;EUR;90;84,42;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Transportes Ferroviarios Especiales S.A., Madrid ;Personenverkehr
205;Arriva Derby Limited, Sunderland/ Großbritannien ;6000000;GBP;6000000;84,31;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Kreditanstalt für Wiederaufbau (KfW), Frankfurt/Main ;Personenverkehr
206;Arriva DLR Limited, Sunderland ;10000000;GBP;10000000;80,14;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Noroeste s.l., Ferrol ;Personenverkehr
207;Arriva Dolenjska in Primorska, druzba za prevoz potnikov, d.do.o., Koper/Slowenien ;4028115;EUR;4026101;80,12;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;S.I.A. Societa Italiana Autoservizi S.P.A., Brescia SAIA TRASPORTI S.P.A., Brescia ;
208;Arriva Durham County Limited, Sunderland/ Großbritannien ;1000000;GBP;1000000;75,9;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Europe GmbH ;Personenverkehr
209;Arriva Finance Holding BV, Heerenveen/ Niederlande ;90;EUR;90;75,5;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;DB Intermodal Services GmbH, Mainz ;Holding- und Finanzierungsges ellschaft
210;Arriva Finance Lease Limited, Sunderland/Großbritan nien ;3000000;GBP;3000000;75,11;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva UK Trains Limited, Sunderland ;Mantelgesellschaft
211;Arriva Findiv Limited, Sunderland ;100000000;GBP;100000000;75,1;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Deutsche Umschlaggesellscha ft Schiene - Straße (DUSS) mbH, Bodenheim ;Holding- gesellschaft
213;Arriva Hongarije Holding BV, Heerenveen/Niederland e ;90;EUR;90;74,9;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;DB Regio Aktiengesellschaft, Frankfurt/Main ;Personenverkehr sowie Transport & Logistik
