,"Surrey Limited,",,GBP,GBP,,"Limited, Sunderland"
,Sunderland/,,,,,
,Großbritannien,,,,,
,,,,,,
26,"Arriva Cymru Limited,",Personenverkehr,1.400.000,1.400.000,100,Arriva (2007)
,Sunderland/,,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
27,"Arriva Danmark A/S,",Personenverkehr,140.003.000,140.003.000,100,Arriva Coöperatie
,Kastrup/Dänemark,(Bus und Schiene),DKK,DKK,,"W.A., Heerenveen"
,,,,,,
28,"Arriva DAV BV,",Personenverkehr,90.000,90.000,100,Arriva
,Heerenveen,,,,,Personenvervoer
,,,,,,"Nederland BV,"
,,,,,,Heerenveen
,,,,,,
29,"Arriva Derby Limited,",Personenverkehr,6.000.000,6.000.000,100,Arriva (2007)
,Sunderland/,,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
30,"Arriva DLR Limited,",Personenverkehr,10.000.000 GBP,10.000.000,100,Arriva UK Trains
,Sunderland,,,GBP,,"Limited, Sunderland"
,,,,,,
31,Arriva Dolenjska in,,4.028.115,4.026.101,"99,95",Arriva Europe
,"Primorska, druzba za",,,,,"GmbH, Berlin"
,"prevoz potnikov,",,,,,
,"d.do.o.,",,,,,
,Koper/Slowenien,,,,,
,,,,,,
32,Arriva Durham County,Personenverkehr,1.000.000,1.000.000,100,Arriva (2007)
,"Limited, Sunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
33,Arriva Finance Holding,Holding- und,90.000,90.000,100,Arriva Coöperatie
,"BV, Heerenveen/",Finanzierungsges,,,,"W.A., Heerenveen"
,Niederlande,ellschaft,,,,
,,,,,,
34,Arriva Finance Lease,Mantelgesellschaft,3.000.000,3.000.000,100,Arriva Motor
,"Limited,",,GBP,GBP,,"Holdings Limited,"
,Sunderland/Großbritan,,,,,Sunderland
,nien,,,,,
35,"Arriva Findiv Limited,",Holding-,100.000.000,100.000.000,100,Arriva International
,Sunderland,gesellschaft,GBP,GBP,,"Limited, Sunderland"
,,,,,,
36,Arriva Holding Ceska,,166.700.000,166.683700.000,"99,9910",Arriva Coöperatie
,"Republika s.r.o.,",,CZK,CZK,0,"W.A., Heerenveen"
,Prague/Tschechien,,,16.670 CZK,,Arriva Passenger
,,,,,"0,01",Services
,,,,,,(International)
,,,,,,"Limited, Sunderland"
,,,,,,
37,Arriva Hongarije,Personenverkehr,90.000,90.000,100,Arriva Coöperatie
,"Holding BV,",sowie Transport &,,,,"W.A., Heerenveen"
,Heerenveen/Niederland,Logistik,,,,
,e,,,,,
,,,,,,
38,"Arriva Hrvatska d.o.o.,",,57.662.000 HRK,57.662.000,100,Arriva Europe
,Osijek/Kroatien,,,HRK,,"GmbH, Berlin"
,,,,,,
39,"Arriva Hungary Zrt.,",Technische,100.000.000,100.000.000,100,Arriva Hongarije
,Budapest/Ungarn,Beratung,HUF,HUF,,"Holding BV,"
,,,,,,Heerenveen
40,"Arriva HWGO BV,",Personenverkehr,90.000,90.000,100,Arriva
,Heerenveen,,,,,Personenvervoer
,,,,,,"Nederland BV,"
,,,,,,Heerenveen
,,,,,,
41,"Arriva Insurance A/S,",Versicherungs-,20.000.000,20.000.000,100,"Arriva Danmark A/S,"
,Kastrup/Dänemark,gesellschaft,DKK,DKK,,Kastrup
,,,,,,
42,Arriva Insurance,Versicherungs-,20.000.000,20.000.000,100,"Arriva Plc,"
,Company (Gibraltar),gesellschaft,GBP,GBP,,Sunderland
,"Limited,",,,,,
,Gibraltar/Gibraltar,,,,,
,,,,,,
43,Arriva International (7),Mantelgesellschaft,160.000.001,160.000.001,100,"Arriva Findiv Limited,"
,"Limited, Sunderland",,GBP,GBP,,Sunderland
,,,,,,
44,Arriva International,Holding-,200.000.000,200.000.000,100,Arriva International
,(Northern Europe),gesellschaft,,,,"Limited, Sunderland"
,"Limited, Sunderland/",,,,,
,Großbritannien,,,,,
,,,,,,
45,Arriva International,Holding-,200.000.000,200.000.000,100,Arriva International
,(Southern Europe),gesellschaft,,,,"Limited, Sunderland"
,"Limited, Sunderland/",,,,,
,Großbritannien,,,,,
,,,,,,
46,Arriva International,Mantelgesellschaft,500.000.000,500.000.000,100,Arriva International
,"Finance Limited,",,,,,"(7) Limited,"
,Sunderland,,,,,Sunderland
,,,,,,
47,Arriva International,Mantelgesellschaft,367.500.000,367.500.000,100,"Arriva Plc,"
,"Limited, Sunderland/",,GBP,GBP,,Sunderland
,Großbritannien,,,,,
,,,,,,
48,ARRIVA,Managementgesel,63.050.000,63.050.000,100,Arriva Malta
,INVESTIMENTOS,lschaft für soziale,,,,"Holdings Limited,"
,"SGPS,SA,",Aktivitäten,,,,Valletta
,Almada/Portugal,,,,,
,,,,,,
49,"Arriva Italia Rail S.R.L.,",Personenverkehr,317.500,317.500,100,"Arriva Italia s.r.l.,"
,Milano/Italien,,,,,Milano
,,,,,,
50,"Arriva Italia s.r.l.,","Personenverkehr,",5.010.000,3.749.985,"74,85",Arriva Malta Finance
,Milano/Italien,Beratungs-,,,,& Investments
,,gesellschaft,,,,"Limited, Valletta"
,,,,,,Arriva Zuid Europa
,,,,1.260.015,"25,15","Holding BV,"
,,,,,,Heerenveen
,,,,,,
51,Arriva Kent & Surrey,Personenverkehr,1.700.000,1.700.000,100,Arriva (2007)
